Timestamp,Open,High,Low,Close
1538778600000,6629.81,6650.5,6623.04,6633.33
1538780400000,6632.01,6643.59,6620,6630.11
1538782200000,6630.71,6648.95,6623.34,6635.65
1538784000000,6635.65,6651,6629.67,6638.24
1538785800000,6638.24,6640,6620,6624.47
1538787600000,6624.53,6636.03,6621.68,6624.31
1538789400000,6624.61,6632.2,6617,6626.02
1538791200000,6627,6627.62,6584.22,6603.02
1538793000000,6605,6608.03,6598.95,6604.01
1538794800000,6604.5,6614.4,6602.26,6608.02
1538796600000,6608.02,6610.68,6601.99,6608.91
1538798400000,6608.91,6618.99,6608.01,6612
1538800200000,6612,6615.13,6605.09,6612
1538802000000,6612,6624.12,6608.43,6622.95
1538803800000,6623.91,6623.91,6615,6615.67
1538805600000,6618.69,6618.74,6610,6610.4
1538807400000,6611,6622.78,6610.4,6614.9
1538809200000,6614.9,6626.2,6613.33,6623.45
1538811000000,6623.48,6627,6618.38,6620.35
1538812800000,6619.43,6620.35,6610.05,6615.53
1538814600000,6615.53,6617.93,6610,6615.19
1538816400000,6615.19,6621.6,6608.2,6620
1538818200000,6619.54,6625.17,6614.15,6620
1538820000000,6620.33,6634.15,6617.24,6624.61
1538821800000,6625.95,6626,6611.66,6617.58
1538823600000,6619,6625.97,6595.27,6598.86
1538825400000,6598.86,6598.88,6570,6587.16
1538827200000,6588.86,6600,6580,6593.4
1538829000000,6593.99,6598.89,6585,6587.81
1538830800000,6587.81,6592.73,6567.14,6578
1538832600000,6578.35,6581.72,6567.39,6579
1538834400000,6579.38,6580.92,6566.77,6575.96
1538836200000,6575.96,6589,6571.77,6588.92
1538838000000,6588.92,6594,6577.55,6589.22
1538839800000,6589.3,6598.89,6589.1,6596.08